INFO:2025-03-13 10:00:49,172: Validation mel loss: 0.193
INFO:2025-03-13 10:04:30,215: Epoch [139/201], Step [20/641], Mel Loss: 0.19490, Adv Loss: 0.66714, Disc Loss: 1.35878, Mono Loss: 0.03431, S2S Loss: 0.00573
INFO:2025-03-13 10:08:11,349: Epoch [139/201], Step [40/641], Mel Loss: 0.19115, Adv Loss: 0.70050, Disc Loss: 1.37148, Mono Loss: 0.02855, S2S Loss: 0.03809
INFO:2025-03-13 10:12:09,234: Epoch [139/201], Step [60/641], Mel Loss: 0.19200, Adv Loss: 0.70737, Disc Loss: 1.36022, Mono Loss: 0.03798, S2S Loss: 0.01616
INFO:2025-03-13 10:15:50,806: Epoch [139/201], Step [80/641], Mel Loss: 0.19605, Adv Loss: 0.73614, Disc Loss: 1.34934, Mono Loss: 0.03455, S2S Loss: 0.00630
INFO:2025-03-13 10:19:29,769: Epoch [139/201], Step [100/641], Mel Loss: 0.19400, Adv Loss: 0.83610, Disc Loss: 1.38154, Mono Loss: 0.03049, S2S Loss: 0.00700
INFO:2025-03-13 10:22:58,255: Epoch [139/201], Step [120/641], Mel Loss: 0.19468, Adv Loss: 0.71870, Disc Loss: 1.35698, Mono Loss: 0.01815, S2S Loss: 0.01837
INFO:2025-03-13 10:26:35,874: Epoch [139/201], Step [140/641], Mel Loss: 0.19238, Adv Loss: 0.66309, Disc Loss: 1.36849, Mono Loss: 0.03939, S2S Loss: 0.00077
INFO:2025-03-13 10:30:09,638: Epoch [139/201], Step [160/641], Mel Loss: 0.19364, Adv Loss: 0.67316, Disc Loss: 1.37267, Mono Loss: 0.03199, S2S Loss: 0.01165
INFO:2025-03-13 10:33:16,754: Epoch [139/201], Step [180/641], Mel Loss: 0.19278, Adv Loss: 0.70263, Disc Loss: 1.35673, Mono Loss: 0.04916, S2S Loss: 0.00784
INFO:2025-03-13 10:37:30,076: Epoch [139/201], Step [200/641], Mel Loss: 0.19440, Adv Loss: 0.74399, Disc Loss: 1.35755, Mono Loss: 0.02836, S2S Loss: 0.01445
INFO:2025-03-13 10:41:12,633: Epoch [139/201], Step [220/641], Mel Loss: 0.19546, Adv Loss: 0.71278, Disc Loss: 1.36662, Mono Loss: 0.03630, S2S Loss: 0.00825
INFO:2025-03-13 10:45:31,857: Epoch [139/201], Step [240/641], Mel Loss: 0.19379, Adv Loss: 0.72394, Disc Loss: 1.39301, Mono Loss: 0.04948, S2S Loss: 0.00412
INFO:2025-03-13 10:49:46,292: Epoch [139/201], Step [260/641], Mel Loss: 0.19607, Adv Loss: 0.73039, Disc Loss: 1.36367, Mono Loss: 0.06455, S2S Loss: 0.00804
INFO:2025-03-13 10:53:59,675: Epoch [139/201], Step [280/641], Mel Loss: 0.19209, Adv Loss: 0.71915, Disc Loss: 1.33596, Mono Loss: 0.02282, S2S Loss: 0.01057
INFO:2025-03-13 10:58:08,209: Epoch [139/201], Step [300/641], Mel Loss: 0.19374, Adv Loss: 0.69211, Disc Loss: 1.36473, Mono Loss: 0.02238, S2S Loss: 0.00370
INFO:2025-03-13 11:02:06,644: Epoch [139/201], Step [320/641], Mel Loss: 0.19454, Adv Loss: 0.78113, Disc Loss: 1.36722, Mono Loss: 0.04381, S2S Loss: 0.00699
INFO:2025-03-13 11:06:12,925: Epoch [139/201], Step [340/641], Mel Loss: 0.19125, Adv Loss: 0.69129, Disc Loss: 1.36492, Mono Loss: 0.04394, S2S Loss: 0.00891
