INFO:2025-03-20 14:30:13,268: Epoch [19/101], Step [580/641], Loss: 0.29934, Avd Loss: 0.68504,  Disc Loss: 1.34706, Dur Loss: 0.42601, Norm Loss: 0.40366, F0 Loss: 2.04224
INFO:2025-03-20 14:32:23,282: Epoch [19/101], Step [600/641], Loss: 0.30543, Avd Loss: 0.83145,  Disc Loss: 1.33302, Dur Loss: 0.43119, Norm Loss: 0.41388, F0 Loss: 2.13757
INFO:2025-03-20 14:34:42,932: Epoch [19/101], Step [620/641], Loss: 0.30695, Avd Loss: 0.76543,  Disc Loss: 1.33285, Dur Loss: 0.45424, Norm Loss: 0.34917, F0 Loss: 2.01778
INFO:2025-03-20 14:37:56,404: Epoch [19/101], Step [640/641], Loss: 0.30075, Avd Loss: 0.65099,  Disc Loss: 1.34771, Dur Loss: 0.43772, Norm Loss: 0.33540, F0 Loss: 2.06273
INFO:2025-03-20 14:38:30,228: Validation loss: 0.326, 0.485
INFO:2025-03-20 14:41:01,629: Epoch [20/101], Step [20/641], Loss: 0.30765, Avd Loss: 0.69876,  Disc Loss: 1.31630, Dur Loss: 0.48155, Norm Loss: 0.41915, F0 Loss: 2.43788
INFO:2025-03-20 14:43:33,246: Epoch [20/101], Step [40/641], Loss: 0.30688, Avd Loss: 0.77705,  Disc Loss: 1.35114, Dur Loss: 0.47098, Norm Loss: 0.37961, F0 Loss: 2.10059
INFO:2025-03-20 14:45:56,084: Epoch [20/101], Step [60/641], Loss: 0.30353, Avd Loss: 0.69404,  Disc Loss: 1.35047, Dur Loss: 0.45393, Norm Loss: 0.42301, F0 Loss: 2.13351
INFO:2025-03-20 14:48:17,227: Epoch [20/101], Step [80/641], Loss: 0.30790, Avd Loss: 0.73003,  Disc Loss: 1.29470, Dur Loss: 0.70542, Norm Loss: 0.52563, F0 Loss: 2.59511
INFO:2025-03-20 14:50:40,996: Epoch [20/101], Step [100/641], Loss: 0.30748, Avd Loss: 0.70156,  Disc Loss: 1.33292, Dur Loss: 0.42903, Norm Loss: 0.38945, F0 Loss: 2.06484
INFO:2025-03-20 14:54:14,177: Epoch [20/101], Step [120/641], Loss: 0.30798, Avd Loss: 0.79967,  Disc Loss: 1.36135, Dur Loss: 0.47976, Norm Loss: 0.40658, F0 Loss: 2.25968
INFO:2025-03-20 14:56:40,194: Epoch [20/101], Step [140/641], Loss: 0.29708, Avd Loss: 0.71430,  Disc Loss: 1.33089, Dur Loss: 0.47503, Norm Loss: 0.34516, F0 Loss: 2.05248
INFO:2025-03-20 14:59:11,979: Epoch [20/101], Step [160/641], Loss: 0.29984, Avd Loss: 0.69373,  Disc Loss: 1.35214, Dur Loss: 0.44365, Norm Loss: 0.38061, F0 Loss: 2.09962
INFO:2025-03-20 15:01:31,280: Epoch [20/101], Step [180/641], Loss: 0.30331, Avd Loss: 0.74572,  Disc Loss: 1.33428, Dur Loss: 0.42431, Norm Loss: 0.39862, F0 Loss: 2.35919
INFO:2025-03-20 15:03:46,716: Epoch [20/101], Step [200/641], Loss: 0.30482, Avd Loss: 0.70683,  Disc Loss: 1.36943, Dur Loss: 0.45861, Norm Loss: 0.40520, F0 Loss: 2.23339
INFO:2025-03-20 15:06:06,708: Epoch [20/101], Step [220/641], Loss: 0.30307, Avd Loss: 0.72779,  Disc Loss: 1.32536, Dur Loss: 0.48781, Norm Loss: 0.40910, F0 Loss: 2.26325
INFO:2025-03-20 15:08:23,496: Epoch [20/101], Step [240/641], Loss: 0.30253, Avd Loss: 0.81273,  Disc Loss: 1.32318, Dur Loss: 0.44242, Norm Loss: 0.41186, F0 Loss: 2.23374
INFO:2025-03-20 15:10:58,486: Epoch [20/101], Step [260/641], Loss: 0.30275, Avd Loss: 0.70605,  Disc Loss: 1.35296, Dur Loss: 0.44227, Norm Loss: 0.42109, F0 Loss: 2.10925
INFO:2025-03-20 15:13:31,486: Epoch [20/101], Step [280/641], Loss: 0.29965, Avd Loss: 0.72347,  Disc Loss: 1.33568, Dur Loss: 0.55613, Norm Loss: 0.39293, F0 Loss: 2.52777
INFO:2025-03-20 15:15:58,380: Epoch [20/101], Step [300/641], Loss: 0.29668, Avd Loss: 0.71369,  Disc Loss: 1.33831, Dur Loss: 0.46637, Norm Loss: 0.42280, F0 Loss: 2.02288
INFO:2025-03-20 15:18:29,621: Epoch [20/101], Step [320/641], Loss: 0.30289, Avd Loss: 0.66256,  Disc Loss: 1.36685, Dur Loss: 0.46646, Norm Loss: 0.39363, F0 Loss: 2.09269
INFO:2025-03-20 15:21:00,663: Epoch [20/101], Step [340/641], Loss: 0.30248, Avd Loss: 0.69746,  Disc Loss: 1.36832, Dur Loss: 0.42077, Norm Loss: 0.39264, F0 Loss: 1.95164
INFO:2025-03-20 15:23:25,185: Epoch [20/101], Step [360/641], Loss: 0.30088, Avd Loss: 0.69534,  Disc Loss: 1.35350, Dur Loss: 0.46036, Norm Loss: 0.42494, F0 Loss: 2.34427
INFO:2025-03-20 15:25:47,043: Epoch [20/101], Step [380/641], Loss: 0.29411, Avd Loss: 0.70971,  Disc Loss: 1.34444, Dur Loss: 0.45523, Norm Loss: 0.41908, F0 Loss: 2.19165
INFO:2025-03-20 15:28:22,276: Epoch [20/101], Step [400/641], Loss: 0.30599, Avd Loss: 0.71330,  Disc Loss: 1.34615, Dur Loss: 0.45600, Norm Loss: 0.40867, F0 Loss: 2.50113
INFO:2025-03-20 15:30:51,098: Epoch [20/101], Step [420/641], Loss: 0.30543, Avd Loss: 0.64862,  Disc Loss: 1.33882, Dur Loss: 0.51044, Norm Loss: 0.43219, F0 Loss: 2.52183
INFO:2025-03-20 15:33:27,530: Epoch [20/101], Step [440/641], Loss: 0.30727, Avd Loss: 0.73937,  Disc Loss: 1.32902, Dur Loss: 0.42373, Norm Loss: 0.41178, F0 Loss: 2.24898
INFO:2025-03-20 15:36:00,214: Epoch [20/101], Step [460/641], Loss: 0.30306, Avd Loss: 0.72654,  Disc Loss: 1.33555, Dur Loss: 0.48021, Norm Loss: 0.39240, F0 Loss: 2.24209
INFO:2025-03-20 15:38:28,230: Epoch [20/101], Step [480/641], Loss: 0.30250, Avd Loss: 0.68796,  Disc Loss: 1.32351, Dur Loss: 0.44567, Norm Loss: 0.38066, F0 Loss: 1.98904
INFO:2025-03-20 15:40:51,178: Epoch [20/101], Step [500/641], Loss: 0.30362, Avd Loss: 0.84610,  Disc Loss: 1.34117, Dur Loss: 0.44269, Norm Loss: 0.37980, F0 Loss: 2.29897
