INFO:2025-03-06 13:48:18,367: Epoch [52/201], Step [20/641], Mel Loss: 0.21217, Adv Loss: 0.71124, Disc Loss: 1.33736, Mono Loss: 0.04500, S2S Loss: 0.10941
INFO:2025-03-06 13:48:58,080: Epoch [52/201], Step [40/641], Mel Loss: 0.21290, Adv Loss: 0.82404, Disc Loss: 1.36883, Mono Loss: 0.03235, S2S Loss: 0.05074
INFO:2025-03-06 13:49:40,825: Epoch [52/201], Step [60/641], Mel Loss: 0.21375, Adv Loss: 0.76249, Disc Loss: 1.33013, Mono Loss: 0.02349, S2S Loss: 0.04060
INFO:2025-03-06 13:50:27,717: Epoch [52/201], Step [80/641], Mel Loss: 0.20948, Adv Loss: 0.76238, Disc Loss: 1.35175, Mono Loss: 0.02290, S2S Loss: 0.09637
INFO:2025-03-06 13:51:22,335: Epoch [52/201], Step [100/641], Mel Loss: 0.21027, Adv Loss: 0.68689, Disc Loss: 1.34084, Mono Loss: 0.03484, S2S Loss: 0.08845
INFO:2025-03-06 13:52:18,834: Epoch [52/201], Step [120/641], Mel Loss: 0.21333, Adv Loss: 0.74188, Disc Loss: 1.36020, Mono Loss: 0.03473, S2S Loss: 0.04187
INFO:2025-03-06 13:53:20,498: Epoch [52/201], Step [140/641], Mel Loss: 0.21284, Adv Loss: 0.81718, Disc Loss: 1.36239, Mono Loss: 0.03636, S2S Loss: 0.07714
INFO:2025-03-06 13:54:25,321: Epoch [52/201], Step [160/641], Mel Loss: 0.21194, Adv Loss: 0.78047, Disc Loss: 1.34642, Mono Loss: 0.06311, S2S Loss: 0.05580
INFO:2025-03-06 13:55:31,506: Epoch [52/201], Step [180/641], Mel Loss: 0.21396, Adv Loss: 0.67922, Disc Loss: 1.30387, Mono Loss: 0.06314, S2S Loss: 0.06238
INFO:2025-03-06 13:56:43,377: Epoch [52/201], Step [200/641], Mel Loss: 0.21458, Adv Loss: 0.69896, Disc Loss: 1.35280, Mono Loss: 0.03212, S2S Loss: 0.11177
INFO:2025-03-06 13:58:01,881: Epoch [52/201], Step [220/641], Mel Loss: 0.21273, Adv Loss: 0.67687, Disc Loss: 1.35060, Mono Loss: 0.02143, S2S Loss: 0.07098
INFO:2025-03-06 13:59:22,256: Epoch [52/201], Step [240/641], Mel Loss: 0.21355, Adv Loss: 0.77681, Disc Loss: 1.34258, Mono Loss: 0.05354, S2S Loss: 0.05343
INFO:2025-03-06 14:00:43,891: Epoch [52/201], Step [260/641], Mel Loss: 0.21723, Adv Loss: 0.72144, Disc Loss: 1.30797, Mono Loss: 0.02868, S2S Loss: 0.09872
INFO:2025-03-06 14:02:08,010: Epoch [52/201], Step [280/641], Mel Loss: 0.21565, Adv Loss: 0.73319, Disc Loss: 1.34247, Mono Loss: 0.02413, S2S Loss: 0.05837
INFO:2025-03-06 14:03:40,687: Epoch [52/201], Step [300/641], Mel Loss: 0.21351, Adv Loss: 0.71448, Disc Loss: 1.32053, Mono Loss: 0.02440, S2S Loss: 0.04380
INFO:2025-03-06 14:05:12,583: Epoch [52/201], Step [320/641], Mel Loss: 0.21343, Adv Loss: 0.74738, Disc Loss: 1.35421, Mono Loss: 0.02098, S2S Loss: 0.08328
INFO:2025-03-06 14:06:52,114: Epoch [52/201], Step [340/641], Mel Loss: 0.21308, Adv Loss: 0.67419, Disc Loss: 1.35354, Mono Loss: 0.02602, S2S Loss: 0.06551
INFO:2025-03-06 14:08:29,539: Epoch [52/201], Step [360/641], Mel Loss: 0.21164, Adv Loss: 0.72692, Disc Loss: 1.34568, Mono Loss: 0.04876, S2S Loss: 0.12480
INFO:2025-03-06 14:10:05,784: Epoch [52/201], Step [380/641], Mel Loss: 0.21435, Adv Loss: 0.71640, Disc Loss: 1.36383, Mono Loss: 0.05179, S2S Loss: 0.05200
INFO:2025-03-06 14:11:51,717: Epoch [52/201], Step [400/641], Mel Loss: 0.21352, Adv Loss: 0.71094, Disc Loss: 1.36219, Mono Loss: 0.03120, S2S Loss: 0.06684
INFO:2025-03-06 14:13:38,897: Epoch [52/201], Step [420/641], Mel Loss: 0.21347, Adv Loss: 0.68083, Disc Loss: 1.34009, Mono Loss: 0.03150, S2S Loss: 0.10149
INFO:2025-03-06 14:15:29,244: Epoch [52/201], Step [440/641], Mel Loss: 0.21503, Adv Loss: 0.70963, Disc Loss: 1.32645, Mono Loss: 0.05954, S2S Loss: 0.09156
INFO:2025-03-06 14:17:25,320: Epoch [52/201], Step [460/641], Mel Loss: 0.21756, Adv Loss: 0.69124, Disc Loss: 1.35631, Mono Loss: 0.02093, S2S Loss: 0.04009
INFO:2025-03-06 14:19:20,128: Epoch [52/201], Step [480/641], Mel Loss: 0.21245, Adv Loss: 0.65593, Disc Loss: 1.35731, Mono Loss: 0.02505, S2S Loss: 0.08821
INFO:2025-03-06 14:21:21,171: Epoch [52/201], Step [500/641], Mel Loss: 0.21385, Adv Loss: 0.77750, Disc Loss: 1.32231, Mono Loss: 0.02298, S2S Loss: 0.05348
INFO:2025-03-06 14:23:15,802: Epoch [52/201], Step [520/641], Mel Loss: 0.21348, Adv Loss: 0.81021, Disc Loss: 1.33749, Mono Loss: 0.02467, S2S Loss: 0.11731
INFO:2025-03-06 14:25:07,975: Epoch [52/201], Step [540/641], Mel Loss: 0.21272, Adv Loss: 0.68955, Disc Loss: 1.38422, Mono Loss: 0.05027, S2S Loss: 0.07201
